Cote;No de plan;Dates;Fichier en haute résolution (cliquer sur le lien);;Mention de crédits
VM165-1_1;Carte index générale;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/carte-index.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/carte-index.jpg;Archives de la Ville de Montréal
VM165-1_1;36-60;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-60.jpg;Archives de la Ville de Montréal
VM165-1_1;36-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-64.jpg;Archives de la Ville de Montréal
VM165-1_1;36-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-68.jpg;Archives de la Ville de Montréal
VM165-1_1;36-76 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-76.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/36-76.jpg;Archives de la Ville de Montréal
VM165-1_1;40-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-60.jpg;Archives de la Ville de Montréal
VM165-1_1;40-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-64.jpg;Archives de la Ville de Montréal
VM165-1_1;40-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-68.jpg;Archives de la Ville de Montréal
VM165-1_1;40-72 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-72.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-72.jpg;Archives de la Ville de Montréal
VM165-1_1;40-76 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-76.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/40-76.jpg;Archives de la Ville de Montréal
VM165-1_1;44-36 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-36.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-36.jpg;Archives de la Ville de Montréal
VM165-1_1;44-52 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-52.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-52.jpg;Archives de la Ville de Montréal
VM165-1_1;44-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-56.jpg;Archives de la Ville de Montréal
VM165-1_1;44-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-60.jpg;Archives de la Ville de Montréal
VM165-1_1;44-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-64.jpg;Archives de la Ville de Montréal
VM165-1_1;44-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-68.jpg;Archives de la Ville de Montréal
VM165-1_1;44-72 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-72.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-72.jpg;Archives de la Ville de Montréal
VM165-1_1;44-76 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-76.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/44-76.jpg;Archives de la Ville de Montréal
VM165-1_1;48-36 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-36.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-36.jpg;Archives de la Ville de Montréal
VM165-1_1;48-40 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-40.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-40.jpg;Archives de la Ville de Montréal
VM165-1_1;48-44 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-44.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-44.jpg;Archives de la Ville de Montréal
VM165-1_1;48-52 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-52.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-52.jpg;Archives de la Ville de Montréal
VM165-1_1;48-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-56.jpg;Archives de la Ville de Montréal
VM165-1_1;48-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-60.jpg;Archives de la Ville de Montréal
VM165-1_1;48-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-64.jpg;Archives de la Ville de Montréal
VM165-1_1;48-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-68.jpg;Archives de la Ville de Montréal
VM165-1_1;48-72 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-72.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-72.jpg;Archives de la Ville de Montréal
VM165-1_1;48-76 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-76.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/48-76.jpg;Archives de la Ville de Montréal
VM165-1_1;52-40 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-40.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-40.jpg;Archives de la Ville de Montréal
VM165-1_1;52-44 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-44.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-44.jpg;Archives de la Ville de Montréal
VM165-1_1;52-48 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-48.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/52-48.jpg;Archives de la Ville de Montréal
